a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,1,0,1,1,1,1,1,1,0.00027561187744140625,0.25,1.0,0.25
1,2,0,1,1,1,2,2,2,0.0002491474151611328,0.5,0.5,0.5
1,3,0,1,1,1,2,2,3,0.0011438727378845215,0.611111111111111,0.5,0.75
1,4,0,1,1,1,2,2,2,0.0002486109733581543,0.25,0.5,0.25
1,5,0,1,1,1,2,2,5,0.0002435445785522461,0.3583333333333485,0.5,0.4500000000000455
1,6,0,1,1,1,2,2,6,0.0002707839012145996,0.5,0.5,0.5
1,7,0,1,1,1,2,2,7,0.00022476911544799805,0.5952380952380952,0.5,0.75
1,8,0,1,1,1,3,3,4,0.00015918413798014322,0.40625,0.3333333333333333,0.5
1,9,0,1,1,1,6,3,9,0.00017306539747450087,0.5451388888888897,0.3333333333333333,0.6944444444444446
1,10,0,1,1,1,3,3,10,0.00015095869700113931,0.5562500000000057,0.3333333333333333,0.625
1,11,0,1,1,1,3,3,11,0.0002303918202718099,0.603693181818187,0.3333333333333333,0.75
1,12,0,1,1,1,3,3,6,0.00017650922139485678,0.33333333333338067,0.3333333333333333,0.3333333333334281
1,13,0,1,1,1,3,3,13,0.0002146164576212565,0.493055555555582,0.3333333333333333,0.7692307692307736
1,14,0,1,1,1,3,3,14,0.00018703937530517578,0.5317460317460356,0.3333333333333333,0.5714285714285712
1,15,0,1,1,1,3,3,15,0.00013681252797444662,0.5625000000000073,0.3333333333333333,0.75
1,16,0,1,1,1,7,3,8,0.0001458883285522461,0.3559027777777892,0.3333333333333333,0.5
1,17,0,1,1,1,7,3,17,0.0002061605453491211,0.47977941176470673,0.3333333333333333,0.5625
1,18,0,1,1,1,7,3,18,0.00017685890197753905,0.6180555555555602,0.3333333333333333,0.6666666666666856
1,19,0,1,1,1,7,3,19,0.0002254962921142578,0.5815058479532196,0.3333333333333333,0.75
1,20,0,1,1,1,7,3,10,0.0002099752426147461,0.5125000000000028,0.3333333333333333,0.75
1,21,0,1,1,1,7,3,21,0.0001610994338989258,0.6116071428571488,0.3333333333333333,0.8125
1,22,0,1,1,1,8,4,22,0.00021892786026000977,0.5848484848484944,0.25,0.6111111111111214
1,23,0,1,1,1,8,4,23,0.00021324555079142252,0.6335748792270559,0.25,0.7934782608695663
1,24,0,1,1,1,8,4,12,0.00013271967569986978,0.4833333333333423,0.25,0.6666666666666856
1,25,0,1,1,1,9,4,25,0.00015636590810922475,0.5552222222222287,0.25,0.7599999999999998
1,26,0,1,1,1,9,4,26,0.00022504879878117488,0.5903846153846188,0.25,0.625
1,27,0,1,1,1,9,4,27,0.0003057259779710036,0.6356481481481516,0.25,0.75
1,28,0,1,1,1,9,4,14,0.0002794632544884315,0.5388888888888913,0.25,0.75
1,29,0,1,1,1,9,4,29,0.0001990978534405048,0.5347222222222257,0.25,0.7586206896551744
1,30,0,1,1,1,9,4,30,0.0002633424905630258,0.6133333333333446,0.25,0.666666666666714
1,31,0,1,1,1,9,4,31,0.0009412215306208684,0.6328405017921199,0.25,0.75
1,32,0,1,1,1,9,4,16,0.00019170687748835637,0.4541666666666785,0.25,0.5555555555555785
1,33,0,1,1,1,9,4,33,0.00035599561838003306,0.5318181818181984,0.25,0.7575757575757649
1,34,0,1,1,1,9,4,34,0.00034645887521597056,0.660661764705884,0.25,0.78125
1,35,0,1,1,1,9,4,35,0.00034755926865797775,0.598611111111115,0.25,0.75
1,36,0,1,1,1,10,4,18,0.00019179071698869978,0.4944444444444465,0.25,0.75
1,37,0,1,1,1,10,4,37,0.00028582981654575894,0.6038006756756886,0.25,0.8125
1,38,0,1,1,1,10,4,38,0.0003495556967599051,0.7577485380117196,0.25,0.875
1,39,0,1,1,1,10,4,39,0.00045628207070486885,0.7471153846154032,0.25,0.9375
1,40,0,1,1,1,10,4,20,0.0002219676971435547,0.5061111111111188,0.25,0.7777777777777857
1,41,0,1,1,1,10,4,41,0.0003781488963535854,0.6394732384824351,0.25,0.888888888888971
1,42,0,1,1,1,10,4,42,0.0004182202475411551,0.7595238095238777,0.25,0.8333333333334849
1,43,0,1,1,1,15,4,43,0.00045942005358244245,0.7371124031008367,0.25,0.8611111111112564
1,44,0,1,1,1,11,5,22,0.000874444842338562,0.5395622895622928,0.2,0.75
1,45,0,1,1,1,16,5,45,0.000451962153116862,0.6475694444444715,0.2,0.828125
1,46,0,1,1,1,11,5,46,0.00035546720027923584,0.7462761674718204,0.2,0.875
1,47,0,1,1,1,11,5,47,0.0004436969757080078,0.6227898443656589,0.2,0.75
1,48,0,1,1,1,11,5,24,0.00018180906772613525,0.46527777777778573,0.2,0.6666666666666714
1,49,0,1,1,1,12,5,49,0.0004920117995318244,0.6387471655329396,0.2,0.8176020408163822
1,50,0,1,1,1,12,5,50,0.00043933531817267924,0.7005555555555777,0.2,0.8888888888889426
1,51,0,1,1,1,12,5,51,0.00038716372321633734,0.6325571895425343,0.2,0.7696078431372655
1,52,0,1,1,1,12,5,26,0.00026758979348575365,0.506855413105415,0.2,0.75
1,53,0,1,1,1,12,5,53,0.0005171018488266889,0.6327360674353794,0.2,0.8125
1,54,0,1,1,1,12,5,54,0.00046630466685575596,0.6643518518518876,0.2,0.875
1,55,0,1,1,1,12,5,55,0.0005202714134665096,0.6441287878788085,0.2,0.7777777777778283
1,56,0,1,1,1,12,5,28,0.0003006598528693704,0.5155820105820216,0.2,0.6400000000000077
1,57,0,1,1,1,12,5,57,0.0005614617291618796,0.5798611111111337,0.2,0.7543859649122808
1,58,0,1,1,1,12,5,58,0.00048230676090016086,0.6416626756066582,0.2,0.7777777777778567
1,59,0,1,1,1,12,5,59,0.0005229220670812271,0.6284771264909036,0.2,0.75
1,60,0,1,1,1,12,5,30,0.00028719621546128215,0.503472222222226,0.2,0.75
1,61,0,1,1,1,12,5,61,0.0005900158601648667,0.5811133879781588,0.2,0.7540983606557461
1,62,0,1,1,1,12,5,62,0.0005640001857981962,0.6712216248507094,0.2,0.875
1,63,0,1,1,1,12,5,63,0.0005130347083596623,0.6059027777777845,0.2,0.75
1,64,0,1,1,1,13,5,32,0.0003114011552598741,0.6483101851852003,0.2,1.0
1,65,0,1,1,1,13,5,65,0.0005666812260945638,0.6602564102564278,0.2,0.890625
1,66,0,1,1,1,13,5,66,0.0005608929528130426,0.7356376262626702,0.2,0.8333333333333997
1,67,0,1,1,1,13,5,67,0.0005057520336574978,0.6755847498618998,0.2,0.8611111111113132
1,68,0,1,1,1,13,5,34,0.00032889842987060547,0.6026933551198299,0.2,0.8888888888888884
1,69,0,1,1,1,13,5,69,0.0006123251385158963,0.7139568236715501,0.2,1.0000000000000568
1,70,0,1,1,1,13,5,70,0.0005877017974853516,0.7619708994709361,0.2,0.9444444444445139
1,71,0,1,1,1,13,5,71,0.0006687376234266493,0.7806998239436952,0.2,0.9722222222222356
1,72,0,1,1,1,13,5,36,0.00022081534067789713,0.5763888888888924,0.2,0.875
1,73,0,1,1,1,13,5,73,0.0006589492162068685,0.7266893391679803,0.2,0.890625
1,74,0,1,1,1,13,5,74,0.0007245937983194987,0.8115459209209338,0.2,0.90625
1,75,0,1,1,1,19,5,75,0.0005820691585540771,0.8169791666667076,0.2,1.0000000000000284
1,76,0,1,1,1,19,5,38,0.00038759907086690265,0.6653265107212536,0.2,0.9375
1,77,0,1,1,1,19,5,77,0.0006361305713653564,0.7758957130832679,0.2,1.078125
1,78,0,1,1,1,19,5,78,0.0006674428780873617,0.9170566239316585,0.2,1.0200000000000102
