a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,2,0,1,1,1,2,2,2,0.00020873546600341797,0.5,0.5,0.5
1,2,1,1,1,1,2,2,2,0.00024563074111938477,0.5,0.5,0.5
1,2,1,2,1,1,1,1,1,0.00037229061126708984,0.125,1.0,0.125
1,2,1,3,1,1,15,6,6,0.0002239318121047247,0.8888888888890197,0.8333333333333334,0.8888888888890278
1,2,1,4,1,1,9,4,4,0.00018703020535982572,0.78125,0.75,0.78125
1,2,1,5,1,1,21,10,10,0.00020266348315823462,0.9200000000001073,0.7,0.9200000000003001
1,2,1,6,1,1,6,3,3,0.00026880370246039494,0.6805555555557135,0.6666666666666666,0.6805555555557703
1,2,1,7,1,1,38,14,14,0.0001837290250338041,0.9387755102041775,0.6428571428571429,0.9387755102043229
1,2,1,8,1,1,20,8,8,0.0002082501138959612,0.8828125,0.625,0.8828125
1,2,1,9,1,1,44,18,18,0.0001741263174241589,0.9506172839507616,0.6111111111111112,0.950617283951317
1,2,1,10,1,1,11,5,5,0.00017116963863372803,0.8050000000001868,0.6,0.805000000000291
1,2,1,11,1,1,49,22,22,0.00024097066530039612,0.9586776859505709,0.5909090909090909,0.9586776859509882
1,2,1,12,1,1,25,12,12,0.000145899282919394,0.9201388888889824,0.5833333333333334,0.9201388888890278
1,2,1,13,1,1,53,26,26,0.0002474452875837495,0.9644970414203641,0.5769230769230769,0.9644970414208274
1,2,1,14,1,1,14,7,7,0.00016148885091145834,0.8596938775511695,0.5714285714285714,0.8596938775513365
1,2,1,15,1,1,86,30,30,0.0002840428516782563,0.9688888888892451,0.5666666666666667,0.9688888888900422
1,2,1,16,1,1,44,16,16,0.0001629352569580078,0.939453125,0.5625,0.939453125
1,2,1,17,1,1,91,34,34,0.0002742271423339844,0.9723183391007573,0.5588235294117645,0.972318339101605
1,2,1,18,1,1,23,9,9,0.0001764744520187378,0.8904320987655565,0.5555555555555556,0.8904320987658139
1,2,1,19,1,1,95,38,38,0.00029819173024113016,0.9750692520780865,0.5526315789473685,0.9750692520798907
1,2,1,20,1,1,49,20,20,0.0001815194668977157,0.9512500000001506,0.55,0.9512500000007549
1,2,2,3,1,1,15,6,6,0.00019466309320359003,0.8888888888890604,0.8333333333333334,0.8888888888891415
1,2,2,5,1,1,27,10,10,0.00019370542990194785,0.9800000000001167,0.9,0.9800000000003024
1,2,2,7,1,1,34,14,14,0.0001751383145650228,0.9693877551021518,0.7857142857142857,0.9693877551023036
1,2,2,9,1,1,40,18,18,0.00018260396760085533,0.9691358024692556,0.7222222222222222,0.9691358024695091
1,2,2,11,1,1,45,22,22,0.0002106303599343371,0.9710743801654248,0.6818181818181818,0.9710743801658737
1,2,2,13,1,1,74,26,26,0.00022844791412353514,0.9733727810653947,0.6538461538461539,0.9733727810662458
1,2,2,15,1,1,80,30,30,0.00023701624436811967,0.9755555555558978,0.6333333333333333,0.9755555555568804
1,2,2,17,1,1,85,34,34,0.0002570012036491843,0.9775086505194162,0.6176470588235294,0.977508650520349
1,2,2,19,1,1,90,38,38,0.0002877432852983475,0.9792243767318808,0.6052631578947368,0.9792243767343507
1,2,3,4,1,1,9,4,4,0.00016183119553786056,0.78125,0.75,0.78125
1,2,3,5,1,1,27,10,10,0.00021162548580685179,0.9800000000001305,0.9,0.9800000000002456
1,2,3,7,1,1,31,14,14,0.00017576747470431856,1.020408163265411,0.9285714285714286,1.0204081632655289
1,2,3,8,1,1,17,8,8,0.00015984535217285158,0.9453125,0.875,0.9453125
1,2,3,10,1,1,10,5,5,0.00018397967020670572,0.8450000000001315,0.8,0.8450000000003683
1,2,3,11,1,1,63,22,22,0.00021358377793255975,0.9917355371902239,0.772727272727273,0.9917355371906069
1,2,3,13,1,1,69,26,26,0.00022648510180021586,0.9881656804736457,0.7307692307692307,0.9881656804742533
1,2,3,14,1,1,18,7,7,0.00015831947326660155,0.8801020408165154,0.7142857142857143,0.8801020408166664
1,2,3,16,1,1,39,16,16,0.00013429901816628195,0.955078125,0.6875,0.955078125
1,2,3,17,1,1,81,34,34,0.00029071102971616,0.9861591695506077,0.6764705882352942,0.9861591695516836
1,2,3,19,1,1,86,38,38,0.0003244761497743668,0.986149584488028,0.6578947368421053,0.9861495844897945
1,2,3,20,1,1,44,20,20,0.00018337741494178772,0.961250000000197,0.65,0.9612500000007458
1,2,4,5,1,1,21,10,10,0.0002052399419969128,0.9200000000001632,0.7,0.9200000000003001
1,2,4,7,1,1,31,14,14,0.00018296241760253906,1.020408163265418,0.9285714285714286,1.0204081632655573
1,2,4,9,1,1,51,18,18,0.00019443553426991338,1.0432098765433018,0.9444444444444444,1.0432098765435285
1,2,4,11,1,1,59,22,22,0.0002220854347134814,1.020661157024941,0.8636363636363636,1.020661157025252
1,2,4,13,1,1,65,26,26,0.00022933509323623153,1.0088757396452341,0.8076923076923077,1.0088757396462142
